trial_id,slot_id,image_id,frequency_hz,trial_prepared_wall_time
1,1,3,8.000,2026-03-11T14:13:14.016
1,2,2,10.000,2026-03-11T14:13:14.016
1,3,4,12.000,2026-03-11T14:13:14.016
1,4,6,15.000,2026-03-11T14:13:14.016
1,5,1,20.000,2026-03-11T14:13:14.016
1,6,5,30.000,2026-03-11T14:13:14.016
2,1,2,8.000,2026-03-11T14:13:18.816
2,2,6,10.000,2026-03-11T14:13:18.816
2,3,5,12.000,2026-03-11T14:13:18.816
2,4,3,15.000,2026-03-11T14:13:18.816
2,5,4,20.000,2026-03-11T14:13:18.816
2,6,1,30.000,2026-03-11T14:13:18.816
3,1,6,8.000,2026-03-11T14:13:23.596
3,2,2,10.000,2026-03-11T14:13:23.596
3,3,5,12.000,2026-03-11T14:13:23.596
3,4,1,15.000,2026-03-11T14:13:23.596
3,5,4,20.000,2026-03-11T14:13:23.596
3,6,3,30.000,2026-03-11T14:13:23.596
4,1,3,8.000,2026-03-11T14:13:28.276
4,2,1,10.000,2026-03-11T14:13:28.276
4,3,2,12.000,2026-03-11T14:13:28.276
4,4,4,15.000,2026-03-11T14:13:28.276
4,5,5,20.000,2026-03-11T14:13:28.276
4,6,6,30.000,2026-03-11T14:13:28.276
