trial_id,target_id,label,stim_start_wall,stim_end_wall,stim_start_abs,stim_end_abs,raw_samples,target_samples,sample_adjustment
1,1,1,2026-03-16T14:13:38.493,2026-03-16T14:13:40.013,3040,4560,1520,375,truncate
2,7,7,2026-03-16T14:13:43.053,2026-03-16T14:13:44.573,7600,9120,1520,375,truncate
3,3,3,2026-03-16T14:13:47.613,2026-03-16T14:13:49.133,12160,13680,1520,375,truncate
4,4,4,2026-03-16T14:13:52.173,2026-03-16T14:13:53.693,16720,18240,1520,375,truncate
5,5,5,2026-03-16T14:13:56.733,2026-03-16T14:13:58.253,21280,22800,1520,375,truncate
6,4,4,2026-03-16T14:14:01.293,2026-03-16T14:14:02.813,25840,27360,1520,375,truncate
7,6,6,2026-03-16T14:14:05.853,2026-03-16T14:14:07.373,30400,31920,1520,375,truncate
8,8,8,2026-03-16T14:14:10.413,2026-03-16T14:14:11.933,34960,36480,1520,375,truncate
9,8,8,2026-03-16T14:14:14.973,2026-03-16T14:14:16.493,39520,41040,1520,375,truncate
10,5,5,2026-03-16T14:14:19.533,2026-03-16T14:14:21.053,44080,45600,1520,375,truncate
11,6,6,2026-03-16T14:14:24.093,2026-03-16T14:14:25.613,48640,50160,1520,375,truncate
12,5,5,2026-03-16T14:14:28.653,2026-03-16T14:14:30.173,53200,54720,1520,375,truncate
13,6,6,2026-03-16T14:14:33.213,2026-03-16T14:14:34.733,57760,59280,1520,375,truncate
14,3,3,2026-03-16T14:14:37.773,2026-03-16T14:14:39.293,62320,63840,1520,375,truncate
15,2,2,2026-03-16T14:14:42.333,2026-03-16T14:14:43.853,66880,68400,1520,375,truncate
16,2,2,2026-03-16T14:14:46.893,2026-03-16T14:14:48.413,71440,72960,1520,375,truncate
17,1,1,2026-03-16T14:14:51.453,2026-03-16T14:14:52.973,76000,77520,1520,375,truncate
18,7,7,2026-03-16T14:14:56.013,2026-03-16T14:14:57.533,80560,82080,1520,375,truncate
19,1,1,2026-03-16T14:15:00.573,2026-03-16T14:15:02.093,85120,86640,1520,375,truncate
20,7,7,2026-03-16T14:15:05.133,2026-03-16T14:15:06.653,89680,91200,1520,375,truncate
21,4,4,2026-03-16T14:15:09.693,2026-03-16T14:15:11.213,94240,95760,1520,375,truncate
22,2,2,2026-03-16T14:15:14.253,2026-03-16T14:15:15.773,98800,100320,1520,375,truncate
23,3,3,2026-03-16T14:15:18.813,2026-03-16T14:15:20.333,103360,104880,1520,375,truncate
24,8,8,2026-03-16T14:15:23.373,2026-03-16T14:15:24.893,107520,109440,1920,375,truncate
