trial_id,target_id,label,stim_start_wall,stim_end_wall,epoch_start_abs,epoch_end_abs_inclusive,n_samples,epoch_complete
1,6,6,2026-03-17T10:39:53.364,2026-03-17T10:39:54.884,3114,4634,1521,1
2,2,2,2026-03-17T10:39:57.924,2026-03-17T10:39:59.444,7674,9194,1521,1
3,3,3,2026-03-17T10:40:02.484,2026-03-17T10:40:04.004,12234,13754,1521,1
4,6,6,2026-03-17T10:40:07.044,2026-03-17T10:40:08.564,16794,18314,1521,1
5,4,4,2026-03-17T10:40:11.604,2026-03-17T10:40:13.124,21354,22874,1521,1
6,4,4,2026-03-17T10:40:16.164,2026-03-17T10:40:17.685,25915,27435,1521,1
7,1,1,2026-03-17T10:40:20.724,2026-03-17T10:40:22.244,30473,31993,1521,1
8,1,1,2026-03-17T10:40:25.284,2026-03-17T10:40:26.804,35034,36554,1521,1
9,5,5,2026-03-17T10:40:29.844,2026-03-17T10:40:31.364,39593,41113,1521,1
10,5,5,2026-03-17T10:40:34.404,2026-03-17T10:40:35.924,44153,45673,1521,1
11,7,7,2026-03-17T10:40:38.964,2026-03-17T10:40:40.484,48714,50234,1521,1
12,6,6,2026-03-17T10:40:43.524,2026-03-17T10:40:45.044,53274,54794,1521,1
13,7,7,2026-03-17T10:40:48.085,2026-03-17T10:40:49.604,57835,59354,1520,1
14,8,8,2026-03-17T10:40:52.644,2026-03-17T10:40:54.164,62394,63914,1521,1
15,3,3,2026-03-17T10:40:57.204,2026-03-17T10:40:58.724,66953,68473,1521,1
16,7,7,2026-03-17T10:41:01.764,2026-03-17T10:41:03.284,71513,73034,1522,1
17,8,8,2026-03-17T10:41:06.324,2026-03-17T10:41:07.844,76073,77594,1522,1
18,4,4,2026-03-17T10:41:10.884,2026-03-17T10:41:12.404,80634,82154,1521,1
19,1,1,2026-03-17T10:41:15.444,2026-03-17T10:41:16.964,85194,86714,1521,1
20,5,5,2026-03-17T10:41:20.004,2026-03-17T10:41:21.524,89754,91274,1521,1
21,8,8,2026-03-17T10:41:24.564,2026-03-17T10:41:26.084,94314,95834,1521,1
22,2,2,2026-03-17T10:41:29.124,2026-03-17T10:41:30.644,98874,100394,1521,1
23,2,2,2026-03-17T10:41:33.684,2026-03-17T10:41:35.204,103434,104954,1521,1
24,3,3,2026-03-17T10:41:38.244,2026-03-17T10:41:39.764,107995,109514,1520,1
