trial_id,target_id,target_frequency_hz,cue_start_wall,stim_start_wall,stim_end_wall,trigger_received,trigger_wall,stim_start_trigger_sent,stim_start_trigger_wall,stim_end_trigger_sent,stim_end_trigger_wall,stim_start_abs,stim_end_abs,raw_samples,epoch_saved
1,1,8.000,2026-03-16T14:13:36.472,2026-03-16T14:13:38.493,2026-03-16T14:13:40.013,1,2026-03-16T14:13:38.512,1,2026-03-16T14:13:38.493,1,2026-03-16T14:13:40.013,3040,4560,1520,1
2,7,40.000,2026-03-16T14:13:41.032,2026-03-16T14:13:43.053,2026-03-16T14:13:44.573,1,2026-03-16T14:13:43.072,1,2026-03-16T14:13:43.053,1,2026-03-16T14:13:44.573,7600,9120,1520,1
3,3,12.000,2026-03-16T14:13:45.592,2026-03-16T14:13:47.613,2026-03-16T14:13:49.133,1,2026-03-16T14:13:47.632,1,2026-03-16T14:13:47.613,1,2026-03-16T14:13:49.133,12160,13680,1520,1
4,4,15.000,2026-03-16T14:13:50.152,2026-03-16T14:13:52.173,2026-03-16T14:13:53.693,1,2026-03-16T14:13:52.192,1,2026-03-16T14:13:52.173,1,2026-03-16T14:13:53.693,16720,18240,1520,1
5,5,20.000,2026-03-16T14:13:54.713,2026-03-16T14:13:56.733,2026-03-16T14:13:58.253,1,2026-03-16T14:13:56.752,1,2026-03-16T14:13:56.733,1,2026-03-16T14:13:58.253,21280,22800,1520,1
6,4,15.000,2026-03-16T14:13:59.272,2026-03-16T14:14:01.293,2026-03-16T14:14:02.813,1,2026-03-16T14:14:01.312,1,2026-03-16T14:14:01.293,1,2026-03-16T14:14:02.813,25840,27360,1520,1
7,6,30.000,2026-03-16T14:14:03.832,2026-03-16T14:14:05.853,2026-03-16T14:14:07.373,1,2026-03-16T14:14:05.872,1,2026-03-16T14:14:05.853,1,2026-03-16T14:14:07.373,30400,31920,1520,1
8,8,45.000,2026-03-16T14:14:08.392,2026-03-16T14:14:10.413,2026-03-16T14:14:11.933,1,2026-03-16T14:14:10.432,1,2026-03-16T14:14:10.413,1,2026-03-16T14:14:11.933,34960,36480,1520,1
9,8,45.000,2026-03-16T14:14:12.952,2026-03-16T14:14:14.973,2026-03-16T14:14:16.493,1,2026-03-16T14:14:14.992,1,2026-03-16T14:14:14.973,1,2026-03-16T14:14:16.493,39520,41040,1520,1
10,5,20.000,2026-03-16T14:14:17.512,2026-03-16T14:14:19.533,2026-03-16T14:14:21.053,1,2026-03-16T14:14:19.552,1,2026-03-16T14:14:19.533,1,2026-03-16T14:14:21.053,44080,45600,1520,1
11,6,30.000,2026-03-16T14:14:22.072,2026-03-16T14:14:24.093,2026-03-16T14:14:25.613,1,2026-03-16T14:14:24.112,1,2026-03-16T14:14:24.093,1,2026-03-16T14:14:25.613,48640,50160,1520,1
12,5,20.000,2026-03-16T14:14:26.632,2026-03-16T14:14:28.653,2026-03-16T14:14:30.173,1,2026-03-16T14:14:28.672,1,2026-03-16T14:14:28.653,1,2026-03-16T14:14:30.173,53200,54720,1520,1
13,6,30.000,2026-03-16T14:14:31.192,2026-03-16T14:14:33.213,2026-03-16T14:14:34.733,1,2026-03-16T14:14:33.232,1,2026-03-16T14:14:33.213,1,2026-03-16T14:14:34.733,57760,59280,1520,1
14,3,12.000,2026-03-16T14:14:35.752,2026-03-16T14:14:37.773,2026-03-16T14:14:39.293,1,2026-03-16T14:14:37.792,1,2026-03-16T14:14:37.773,1,2026-03-16T14:14:39.293,62320,63840,1520,1
15,2,10.000,2026-03-16T14:14:40.312,2026-03-16T14:14:42.333,2026-03-16T14:14:43.853,1,2026-03-16T14:14:42.352,1,2026-03-16T14:14:42.333,1,2026-03-16T14:14:43.853,66880,68400,1520,1
16,2,10.000,2026-03-16T14:14:44.872,2026-03-16T14:14:46.893,2026-03-16T14:14:48.413,1,2026-03-16T14:14:46.912,1,2026-03-16T14:14:46.893,1,2026-03-16T14:14:48.413,71440,72960,1520,1
17,1,8.000,2026-03-16T14:14:49.432,2026-03-16T14:14:51.453,2026-03-16T14:14:52.973,1,2026-03-16T14:14:51.472,1,2026-03-16T14:14:51.453,1,2026-03-16T14:14:52.973,76000,77520,1520,1
18,7,40.000,2026-03-16T14:14:53.993,2026-03-16T14:14:56.013,2026-03-16T14:14:57.533,1,2026-03-16T14:14:56.032,1,2026-03-16T14:14:56.013,1,2026-03-16T14:14:57.533,80560,82080,1520,1
19,1,8.000,2026-03-16T14:14:58.552,2026-03-16T14:15:00.573,2026-03-16T14:15:02.093,1,2026-03-16T14:15:00.592,1,2026-03-16T14:15:00.573,1,2026-03-16T14:15:02.093,85120,86640,1520,1
20,7,40.000,2026-03-16T14:15:03.112,2026-03-16T14:15:05.133,2026-03-16T14:15:06.653,1,2026-03-16T14:15:05.152,1,2026-03-16T14:15:05.133,1,2026-03-16T14:15:06.653,89680,91200,1520,1
21,4,15.000,2026-03-16T14:15:07.672,2026-03-16T14:15:09.693,2026-03-16T14:15:11.213,1,2026-03-16T14:15:09.712,1,2026-03-16T14:15:09.693,1,2026-03-16T14:15:11.213,94240,95760,1520,1
