trial_id,target_id,target_frequency_hz,cue_start_wall,stim_start_wall,stim_end_wall,trigger_received,trigger_wall,stim_start_trigger_sent,stim_start_trigger_wall,stim_end_trigger_sent,stim_end_trigger_wall,stim_enter_abs,stim_exit_abs,epoch_start_abs,epoch_end_abs_inclusive,raw_samples,epoch_complete,epoch_saved
1,8,45.000,2026-03-17T10:45:04.425,2026-03-17T10:45:06.444,2026-03-17T10:45:07.964,1,2026-03-17T10:45:06.464,1,2026-03-17T10:45:06.444,1,2026-03-17T10:45:07.964,3040,4560,3117,4637,1521,1,1
2,7,40.000,2026-03-17T10:45:08.985,2026-03-17T10:45:11.004,2026-03-17T10:45:12.524,1,2026-03-17T10:45:11.024,1,2026-03-17T10:45:11.004,1,2026-03-17T10:45:12.524,7600,9120,7676,9196,1521,1,1
3,5,20.000,2026-03-17T10:45:13.545,2026-03-17T10:45:15.565,2026-03-17T10:45:17.085,1,2026-03-17T10:45:15.585,1,2026-03-17T10:45:15.565,1,2026-03-17T10:45:17.085,12120,13560,12237,13757,1521,1,1
4,3,12.000,2026-03-17T10:45:18.105,2026-03-17T10:45:20.124,2026-03-17T10:45:21.644,1,2026-03-17T10:45:20.144,1,2026-03-17T10:45:20.124,1,2026-03-17T10:45:21.644,16720,18240,16796,18316,1521,1,1
5,4,15.000,2026-03-17T10:45:22.665,2026-03-17T10:45:24.684,2026-03-17T10:45:26.204,1,2026-03-17T10:45:24.704,1,2026-03-17T10:45:24.684,1,2026-03-17T10:45:26.204,21280,22800,21356,22876,1521,1,1
6,1,8.000,2026-03-17T10:45:27.225,2026-03-17T10:45:29.244,2026-03-17T10:45:30.764,1,2026-03-17T10:45:29.264,1,2026-03-17T10:45:29.244,1,2026-03-17T10:45:30.764,25840,27360,25915,27435,1521,1,1
7,6,30.000,2026-03-17T10:45:31.785,2026-03-17T10:45:33.804,2026-03-17T10:45:35.324,1,2026-03-17T10:45:33.824,1,2026-03-17T10:45:33.804,1,2026-03-17T10:45:35.324,30400,31920,30475,31995,1521,1,1
8,5,20.000,2026-03-17T10:45:36.345,2026-03-17T10:45:38.364,2026-03-17T10:45:39.884,1,2026-03-17T10:45:38.384,1,2026-03-17T10:45:38.364,1,2026-03-17T10:45:39.884,34960,36480,35035,36555,1521,1,1
9,4,15.000,2026-03-17T10:45:40.905,2026-03-17T10:45:42.924,2026-03-17T10:45:44.444,1,2026-03-17T10:45:42.944,1,2026-03-17T10:45:42.924,1,2026-03-17T10:45:44.444,39520,41040,39595,41115,1521,1,1
10,2,10.000,2026-03-17T10:45:45.465,2026-03-17T10:45:47.484,2026-03-17T10:45:49.004,1,2026-03-17T10:45:47.504,1,2026-03-17T10:45:47.484,1,2026-03-17T10:45:49.004,44080,45600,44154,45675,1522,1,1
