trial_id,target_id,target_frequency_hz,cue_start_wall,stim_start_wall,stim_end_wall,trigger_received,trigger_wall,stim_start_trigger_sent,stim_start_trigger_wall,stim_end_trigger_sent,stim_end_trigger_wall,stim_enter_abs,stim_exit_abs,epoch_start_abs,epoch_end_abs_inclusive,raw_samples,epoch_complete,epoch_saved
1,13,12.800,2026-04-15T14:18:52.548,2026-04-15T14:18:54.705,2026-04-15T14:18:57.614,1,2026-04-15T14:18:54.779,1,2026-04-15T14:18:54.705,1,2026-04-15T14:18:57.614,3640,6520,3717,-1,0,0,0
2,14,13.200,2026-04-15T14:18:57.614,2026-04-15T14:18:59.797,2026-04-15T14:19:02.705,1,2026-04-15T14:18:59.897,1,2026-04-15T14:18:59.797,1,2026-04-15T14:19:02.705,8720,11640,8810,-1,0,0,0
3,2,8.400,2026-04-15T14:19:02.706,2026-04-15T14:19:04.887,2026-04-15T14:19:07.796,1,2026-04-15T14:19:04.979,1,2026-04-15T14:19:04.887,1,2026-04-15T14:19:07.796,13800,16720,13900,-1,0,0,0
4,6,10.000,2026-04-15T14:19:07.796,2026-04-15T14:19:09.978,2026-04-15T14:19:12.887,1,2026-04-15T14:19:10.058,1,2026-04-15T14:19:09.978,1,2026-04-15T14:19:12.887,18880,21800,18990,-1,0,0,0
5,16,14.000,2026-04-15T14:19:12.888,2026-04-15T14:19:15.069,2026-04-15T14:19:18.014,1,2026-04-15T14:19:15.180,1,2026-04-15T14:19:15.069,1,2026-04-15T14:19:18.014,24000,26920,24080,-1,0,0,0
6,1,8.000,2026-04-15T14:19:18.014,2026-04-15T14:19:20.196,2026-04-15T14:19:23.110,1,2026-04-15T14:19:20.298,1,2026-04-15T14:19:20.196,1,2026-04-15T14:19:23.110,29120,32040,29208,-1,0,0,0
7,12,12.400,2026-04-15T14:19:23.111,2026-04-15T14:19:25.293,2026-04-15T14:19:28.165,1,2026-04-15T14:19:25.380,1,2026-04-15T14:19:25.293,1,2026-04-15T14:19:28.165,34200,37080,34305,-1,0,0,0
8,20,15.600,2026-04-15T14:19:28.165,2026-04-15T14:19:30.292,2026-04-15T14:19:32.450,1,2026-04-15T14:19:30.379,1,2026-04-15T14:19:30.292,1,2026-04-15T14:19:32.450,39200,41360,39305,-1,0,0,0
9,9,11.200,2026-04-15T14:19:32.450,2026-04-15T14:19:34.401,2026-04-15T14:19:37.165,1,2026-04-15T14:19:34.496,1,2026-04-15T14:19:34.401,1,2026-04-15T14:19:37.165,43320,46080,43414,-1,0,0,0
10,17,14.400,2026-04-15T14:19:37.165,2026-04-15T14:19:39.304,2026-04-15T14:19:42.098,1,2026-04-15T14:19:39.379,1,2026-04-15T14:19:39.304,1,2026-04-15T14:19:42.098,48240,51000,48316,-1,0,0,0
11,19,15.200,2026-04-15T14:19:42.098,2026-04-15T14:19:44.280,2026-04-15T14:19:47.158,1,2026-04-15T14:19:44.379,1,2026-04-15T14:19:44.280,1,2026-04-15T14:19:47.158,53200,56080,53293,-1,0,0,0
12,15,13.600,2026-04-15T14:19:47.158,2026-04-15T14:19:49.340,2026-04-15T14:19:52.237,1,2026-04-15T14:19:49.420,1,2026-04-15T14:19:49.340,1,2026-04-15T14:19:52.237,58280,61160,58353,-1,0,0,0
13,10,11.600,2026-04-15T14:19:52.238,2026-04-15T14:19:54.401,2026-04-15T14:19:57.285,1,2026-04-15T14:19:54.497,1,2026-04-15T14:19:54.401,1,2026-04-15T14:19:57.285,63320,66200,63413,-1,0,0,0
14,5,9.600,2026-04-15T14:19:57.286,2026-04-15T14:19:59.455,2026-04-15T14:20:02.364,1,2026-04-15T14:19:59.551,1,2026-04-15T14:19:59.455,1,2026-04-15T14:20:02.364,68000,71280,68468,-1,0,0,0
15,3,8.800,2026-04-15T14:20:02.365,2026-04-15T14:20:04.546,2026-04-15T14:20:07.456,1,2026-04-15T14:20:04.560,1,2026-04-15T14:20:04.546,1,2026-04-15T14:20:07.456,73480,76360,73559,-1,0,0,0
16,7,10.400,2026-04-15T14:20:07.456,2026-04-15T14:20:09.637,2026-04-15T14:20:12.546,1,2026-04-15T14:20:09.739,1,2026-04-15T14:20:09.637,1,2026-04-15T14:20:12.546,78560,81480,78650,-1,0,0,0
17,8,10.800,2026-04-15T14:20:12.546,2026-04-15T14:20:14.728,2026-04-15T14:20:17.638,1,2026-04-15T14:20:14.819,1,2026-04-15T14:20:14.728,1,2026-04-15T14:20:17.638,83640,86560,83741,-1,0,0,0
18,4,9.200,2026-04-15T14:20:17.638,2026-04-15T14:20:19.819,2026-04-15T14:20:22.728,1,2026-04-15T14:20:19.899,1,2026-04-15T14:20:19.819,1,2026-04-15T14:20:22.728,88760,91640,88831,-1,0,0,0
19,18,14.800,2026-04-15T14:20:22.729,2026-04-15T14:20:24.910,2026-04-15T14:20:27.819,1,2026-04-15T14:20:25.018,1,2026-04-15T14:20:24.910,1,2026-04-15T14:20:27.819,93840,96760,93921,-1,0,0,0
20,11,12.000,2026-04-15T14:20:27.819,2026-04-15T14:20:30.001,2026-04-15T14:20:32.861,1,2026-04-15T14:20:30.102,1,2026-04-15T14:20:30.001,1,2026-04-15T14:20:32.861,98920,101800,99013,-1,0,0,0
21,1,8.000,2026-04-15T14:20:32.861,2026-04-15T14:20:34.915,2026-04-15T14:20:37.117,1,2026-04-15T14:20:35.020,1,2026-04-15T14:20:34.915,1,2026-04-15T14:20:37.117,103840,106040,103928,-1,0,0,0
22,16,14.000,2026-04-15T14:20:37.117,2026-04-15T14:20:38.986,2026-04-15T14:20:41.558,1,2026-04-15T14:20:39.059,1,2026-04-15T14:20:38.986,1,2026-04-15T14:20:41.558,107920,110480,107998,-1,0,0,0
23,17,14.400,2026-04-15T14:20:41.558,2026-04-15T14:20:43.400,2026-04-15T14:20:46.091,1,2026-04-15T14:20:43.498,1,2026-04-15T14:20:43.400,1,2026-04-15T14:20:46.091,112320,115000,112413,-1,0,0,0
24,9,11.200,2026-04-15T14:20:46.091,2026-04-15T14:20:48.193,2026-04-15T14:20:51.054,1,2026-04-15T14:20:48.299,1,2026-04-15T14:20:48.193,1,2026-04-15T14:20:51.054,117120,119960,117206,-1,0,0,0
25,3,8.800,2026-04-15T14:20:51.055,2026-04-15T14:20:53.242,2026-04-15T14:20:56.133,1,2026-04-15T14:20:53.337,1,2026-04-15T14:20:53.242,1,2026-04-15T14:20:56.133,122160,125040,122255,-1,0,0,0
26,5,9.600,2026-04-15T14:20:56.133,2026-04-15T14:20:58.266,2026-04-15T14:21:01.175,1,2026-04-15T14:20:58.279,1,2026-04-15T14:20:58.266,1,2026-04-15T14:21:01.175,127200,130080,127279,-1,0,0,0
